disp_x_mm,disp_y_mm,disp_z_mm,Rx_deg,Ry_deg,Rz_deg,Fx_N,Fy_N,Fz_N
0.0483273310074764,-0.112807333010464,0.0571743298372813,0.535436038507357,-1.30794500660151,0.28365162046687,0.123921565546482,0.317085445270322,-0.0058731263845857
0.0476005839196902,-0.112882767861856,0.056625516834097,0.53557742745366,-1.3087367556101,0.283252054380487,-0.55145429517853,0.722105540188068,0.0335540437564816
0.0468499129795421,-0.112904943199716,0.0560513398521203,0.535679808964377,-1.30952372749516,0.282864286994831,-0.363800117939945,0.955859720243097,-0.0585969579752543
0.0461196033401389,-0.112879472313677,0.055483857221962,0.535738981884481,-1.3102584862689,0.282523202946821,-0.104930156374905,0.787028036429319,0.0102824681926279
0.0454371517322287,-0.112823979450972,0.0549588822148779,0.535761779884613,-1.31090760334239,0.282256290914233,-0.997866167906068,-0.081369264909199,0.198079148556587
0.0448260102862326,-0.11274986451939,0.0545064821004413,0.535754259045764,-1.31144450699582,0.282083009205164,0.154766273267796,1.11424033869275,0.107961194265442
0.0442991033651748,-0.112666221142321,0.0541500466507659,0.535726386302192,-1.31185868303987,0.282006896192823,-0.753305309150335,0.677835952921441,0.0862421930630433
0.0438614931593533,-0.112583261585428,0.0539099680988677,0.535690404987829,-1.31214938520895,0.282023081403968,-0.310944917999905,0.177351985277483,0.0160818447121187
0.0435023657896685,-0.112506278683388,0.0537923728050284,0.535658045951582,-1.31233130215099,0.282116945198313,-0.252494836195638,0.392033987141758,0.0574684806849461
0.0432173905318251,-0.112434122836224,0.0537985574332758,0.535636391307817,-1.31241944923812,0.282267885447804,-0.660669639612081,-0.184759881568425,0.27100340480078
0.0429970991168811,-0.1123818331546,0.0539313792090677,0.535643517367822,-1.31243735144639,0.282449085702659,0.168957674255012,-0.839830240386846,0.194169661638028
0.0428341310002474,-0.11233875511606,0.0541715938756389,0.535679188609613,-1.31240503190456,0.282636023970914,-0.695059102301514,0.141428136166269,0.0946360317261394
0.0427185550472095,-0.112301973956005,0.0544980470565315,0.535743957717312,-1.31234348112312,0.282809919706324,-0.252145890988629,0.466189770621668,0.177239992066461
0.042647812057025,-0.112269145604552,0.0548883717143611,0.535834250888878,-1.31226457307803,0.282959397653001,-0.331712070269191,0.392688101367867,0.0660433431200431
0.0426228765865295,-0.112235772988831,0.0553152278344912,0.535943293144767,-1.31217757209919,0.283077273703754,-1.23523268375783,0.188759329721506,0.13310144468673
0.0426497600774981,-0.112196512550087,0.0557506398916153,0.536056807570353,-1.31207910318686,0.283171579693835,-0.066495382836024,0.474322341324978,0.0972639329064293
0.0427417841903587,-0.112144725977653,0.0561686619028567,0.536157034347009,-1.31195770431206,0.283257085473521,-1.14849397238567,0.324318453737078,0.133123497095909
0.0429070878297536,-0.112072504510747,0.0565423629237553,0.536225110060818,-1.31180280056336,0.283351681409473,-0.190173054530021,0.116425908791598,0.245422113779256
0.0431479127869953,-0.111981420992291,0.0568528854936083,0.536249080880144,-1.3116075236322,0.283473109158137,-0.38488338849902,0.339445682278665,0.0990176452025935
0.0434703274081222,-0.111876287417206,0.0570904685427585,0.536219506574849,-1.31136044617721,0.283640332608315,-0.778733340811129,0.872387854148656,0.044279025702707
0.0438669921954302,-0.111772990898063,0.0572544008892404,0.536141015956207,-1.31106894692097,0.28385608015555,0.0597289572947943,0.274515224194602,0.204154005908464
0.0443300324420276,-0.111679631151724,0.0573453369421797,0.536016456710354,-1.31074290959111,0.284117951475348,-0.887193291754613,0.881618268606871,0.11302859411316
0.0448482612394474,-0.111617179125138,0.0573787318690656,0.535862529006584,-1.31039844040851,0.284414682920796,-0.269500793815382,0.166961605760207,0.18579332442485
0.0453989183140238,-0.111606661443138,0.0573716462127933,0.535701928899899,-1.31006612338484,0.284722599460815,-0.473890846856762,0.154694157873791,0.0290024241685956
0.0459671590074347,-0.11166385067347,0.0573447171306569,0.535558998206714,-1.30977423057341,0.285012317320893,-0.741546209732064,0.72845672477456,0.0394740389392894
0.0465370636196506,-0.11180089837432,0.0573195026514516,0.535455604637623,-1.30954939597692,0.285257693282582,0.287797363486447,1.06022846790802,0.0310750544039706
0.0470861361130985,-0.112030291911353,0.0573174150259518,0.535418832603006,-1.30942801744045,0.28542296739094,-0.722908715435608,0.775835939964963,0.0762271480037384
0.0476105109401478,-0.112338042144875,0.0573475950753372,0.535454218559386,-1.30942282586668,0.285489104656628,-0.150753554768983,0.331782655704501,0.102126684877959
0.048113520248984,-0.112707491380963,0.057417306792571,0.535563436909056,-1.30953636808233,0.28544493500938,-0.22738263736062,0.930874756148569,0.200536255501703
0.0486049992027068,-0.113110936567771,0.05752542641231,0.535736865272716,-1.30975954173805,0.28529052811104,-0.713564922277271,0.590611518325431,0.106199958012439
0.0490997256088081,-0.113508833478735,0.057660048403388,0.535954724822508,-1.31007233109236,0.285035350843634,-0.0266893124316994,0.451908623660984,0.0603747925397045
0.0496171832915512,-0.113856786585083,0.0578026159445156,0.53618678453828,-1.31044233095541,0.284702720834907,-0.566160501852778,0.581435969371796,0.0167351265188245
0.0501806709267413,-0.114120958501106,0.0579380271899764,0.536408073946104,-1.31082937510976,0.284321472164605,-0.0139798466751699,0.270382803818165,0.108316891487675
0.0508161862075283,-0.11426269412427,0.0580436817237,0.536585315195471,-1.31118620939642,0.283928454158997,-0.148567952272913,0.292790798055421,0.0929056455265993
0.0515423488524643,-0.114262423545425,0.0581049087065723,0.536699090024212,-1.31147534378085,0.283552641176976,0.0780933787566482,0.460749167386894,0.10472566464864
